2025-03-14 12:27:14,044 | WARNING  | helper_functions.py:142 | Error: Time index '1.1011011011011012' or column 'Fx' not found.
2025-03-14 12:27:14,047 | WARNING  | helper_functions.py:142 | Error: Time index '1.1111111111111112' or column 'Fx' not found.
2025-03-14 12:27:14,049 | WARNING  | helper_functions.py:142 | Error: Time index '1.1211211211211212' or column 'Fx' not found.
2025-03-14 12:27:14,052 | WARNING  | helper_functions.py:142 | Error: Time index '1.1311311311311312' or column 'Fx' not found.
2025-03-14 12:27:14,055 | WARNING  | helper_functions.py:142 | Error: Time index '1.1411411411411412' or column 'Fx' not found.
2025-03-14 12:27:14,058 | WARNING  | helper_functions.py:142 | Error: Time index '1.1511511511511512' or column 'Fx' not found.
2025-03-14 12:27:14,061 | WARNING  | helper_functions.py:142 | Error: Time index '1.1611611611611612' or column 'Fx' not found.
2025-03-14 12:27:14,064 | WARNING  | helper_functions.py:142 | Error: Time index '1.1711711711711712' or column 'Fx' not found.
2025-03-14 12:27:14,066 | WARNING  | helper_functions.py:142 | Error: Time index '1.1811811811811812' or column 'Fx' not found.
2025-03-14 12:27:14,069 | WARNING  | helper_functions.py:142 | Error: Time index '1.1911911911911912' or column 'Fx' not found.
2025-03-14 12:27:14,072 | WARNING  | helper_functions.py:142 | Error: Time index '1.2012012012012012' or column 'Fx' not found.
2025-03-14 12:27:14,075 | WARNING  | helper_functions.py:142 | Error: Time index '1.2112112112112112' or column 'Fx' not found.
2025-03-14 12:27:14,078 | WARNING  | helper_functions.py:142 | Error: Time index '1.2212212212212212' or column 'Fx' not found.
2025-03-14 12:27:14,082 | WARNING  | helper_functions.py:142 | Error: Time index '1.2312312312312312' or column 'Fx' not found.
2025-03-14 12:27:14,086 | WARNING  | helper_functions.py:142 | Error: Time index '1.2412412412412412' or column 'Fx' not found.
2025-03-14 12:27:14,089 | WARNING  | helper_functions.py:142 | Error: Time index '1.2512512512512513' or column 'Fx' not found.
2025-03-14 12:27:14,091 | WARNING  | helper_functions.py:142 | Error: Time index '1.2612612612612613' or column 'Fx' not found.
2025-03-14 12:27:14,094 | WARNING  | helper_functions.py:142 | Error: Time index '1.2712712712712713' or column 'Fx' not found.
2025-03-14 12:27:14,097 | WARNING  | helper_functions.py:142 | Error: Time index '1.2812812812812813' or column 'Fx' not found.
2025-03-14 12:27:14,100 | WARNING  | helper_functions.py:142 | Error: Time index '1.2912912912912913' or column 'Fx' not found.
2025-03-14 12:27:14,103 | WARNING  | helper_functions.py:142 | Error: Time index '1.3013013013013013' or column 'Fx' not found.
2025-03-14 12:27:14,106 | WARNING  | helper_functions.py:142 | Error: Time index '1.3113113113113113' or column 'Fx' not found.
2025-03-14 12:27:14,108 | WARNING  | helper_functions.py:142 | Error: Time index '1.3213213213213213' or column 'Fx' not found.
2025-03-14 12:27:14,111 | WARNING  | helper_functions.py:142 | Error: Time index '1.3313313313313313' or column 'Fx' not found.
2025-03-14 12:27:14,114 | WARNING  | helper_functions.py:142 | Error: Time index '1.3413413413413413' or column 'Fx' not found.
2025-03-14 12:27:14,116 | WARNING  | helper_functions.py:142 | Error: Time index '1.3513513513513513' or column 'Fx' not found.
2025-03-14 12:27:14,120 | WARNING  | helper_functions.py:142 | Error: Time index '1.3613613613613613' or column 'Fx' not found.
2025-03-14 12:27:14,122 | WARNING  | helper_functions.py:142 | Error: Time index '1.3713713713713713' or column 'Fx' not found.
2025-03-14 12:27:14,125 | WARNING  | helper_functions.py:142 | Error: Time index '1.3813813813813813' or column 'Fx' not found.
2025-03-14 12:27:14,128 | WARNING  | helper_functions.py:142 | Error: Time index '1.3913913913913913' or column 'Fx' not found.
2025-03-14 12:27:14,130 | WARNING  | helper_functions.py:142 | Error: Time index '1.4014014014014013' or column 'Fx' not found.
2025-03-14 12:27:14,133 | WARNING  | helper_functions.py:142 | Error: Time index '1.4114114114114114' or column 'Fx' not found.
2025-03-14 12:27:14,137 | WARNING  | helper_functions.py:142 | Error: Time index '1.4214214214214214' or column 'Fx' not found.
2025-03-14 12:27:14,140 | WARNING  | helper_functions.py:142 | Error: Time index '1.4314314314314314' or column 'Fx' not found.
2025-03-14 12:27:14,142 | WARNING  | helper_functions.py:142 | Error: Time index '1.4414414414414414' or column 'Fx' not found.
2025-03-14 12:27:14,145 | WARNING  | helper_functions.py:142 | Error: Time index '1.4514514514514514' or column 'Fx' not found.
2025-03-14 12:27:14,148 | WARNING  | helper_functions.py:142 | Error: Time index '1.4614614614614614' or column 'Fx' not found.
2025-03-14 12:27:14,151 | WARNING  | helper_functions.py:142 | Error: Time index '1.4714714714714714' or column 'Fx' not found.
2025-03-14 12:27:14,154 | WARNING  | helper_functions.py:142 | Error: Time index '1.4814814814814814' or column 'Fx' not found.
2025-03-14 12:27:14,157 | WARNING  | helper_functions.py:142 | Error: Time index '1.4914914914914914' or column 'Fx' not found.
2025-03-14 12:27:14,159 | WARNING  | helper_functions.py:142 | Error: Time index '1.5015015015015014' or column 'Fx' not found.
2025-03-14 12:27:14,162 | WARNING  | helper_functions.py:142 | Error: Time index '1.5115115115115114' or column 'Fx' not found.
2025-03-14 12:27:14,165 | WARNING  | helper_functions.py:142 | Error: Time index '1.5215215215215214' or column 'Fx' not found.
2025-03-14 12:27:14,168 | WARNING  | helper_functions.py:142 | Error: Time index '1.5315315315315314' or column 'Fx' not found.
2025-03-14 12:27:14,171 | WARNING  | helper_functions.py:142 | Error: Time index '1.5415415415415414' or column 'Fx' not found.
2025-03-14 12:27:14,174 | WARNING  | helper_functions.py:142 | Error: Time index '1.5515515515515514' or column 'Fx' not found.
2025-03-14 12:27:14,176 | WARNING  | helper_functions.py:142 | Error: Time index '1.5615615615615615' or column 'Fx' not found.
2025-03-14 12:27:14,179 | WARNING  | helper_functions.py:142 | Error: Time index '1.5715715715715715' or column 'Fx' not found.
2025-03-14 12:27:14,182 | WARNING  | helper_functions.py:142 | Error: Time index '1.5815815815815815' or column 'Fx' not found.
2025-03-14 12:27:14,186 | WARNING  | helper_functions.py:142 | Error: Time index '1.5915915915915915' or column 'Fx' not found.
2025-03-14 12:27:14,189 | WARNING  | helper_functions.py:142 | Error: Time index '1.6016016016016015' or column 'Fx' not found.
2025-03-14 12:27:14,191 | WARNING  | helper_functions.py:142 | Error: Time index '1.6116116116116117' or column 'Fx' not found.
2025-03-14 12:27:14,194 | WARNING  | helper_functions.py:142 | Error: Time index '1.6216216216216217' or column 'Fx' not found.
2025-03-14 12:27:14,196 | WARNING  | helper_functions.py:142 | Error: Time index '1.6316316316316317' or column 'Fx' not found.
2025-03-14 12:27:14,199 | WARNING  | helper_functions.py:142 | Error: Time index '1.6416416416416417' or column 'Fx' not found.
2025-03-14 12:27:14,203 | WARNING  | helper_functions.py:142 | Error: Time index '1.6516516516516517' or column 'Fx' not found.
2025-03-14 12:27:14,206 | WARNING  | helper_functions.py:142 | Error: Time index '1.6616616616616617' or column 'Fx' not found.
2025-03-14 12:27:14,208 | WARNING  | helper_functions.py:142 | Error: Time index '1.6716716716716717' or column 'Fx' not found.
2025-03-14 12:27:14,211 | WARNING  | helper_functions.py:142 | Error: Time index '1.6816816816816818' or column 'Fx' not found.
2025-03-14 12:27:14,213 | WARNING  | helper_functions.py:142 | Error: Time index '1.6916916916916918' or column 'Fx' not found.
2025-03-14 12:27:14,216 | WARNING  | helper_functions.py:142 | Error: Time index '1.7017017017017018' or column 'Fx' not found.
2025-03-14 12:27:14,220 | WARNING  | helper_functions.py:142 | Error: Time index '1.7117117117117118' or column 'Fx' not found.
2025-03-14 12:27:14,223 | WARNING  | helper_functions.py:142 | Error: Time index '1.7217217217217218' or column 'Fx' not found.
2025-03-14 12:27:14,225 | WARNING  | helper_functions.py:142 | Error: Time index '1.7317317317317318' or column 'Fx' not found.
2025-03-14 12:27:14,228 | WARNING  | helper_functions.py:142 | Error: Time index '1.7417417417417418' or column 'Fx' not found.
2025-03-14 12:27:14,231 | WARNING  | helper_functions.py:142 | Error: Time index '1.7517517517517518' or column 'Fx' not found.
