speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
85.7367978020732,0.40047813251994,9.15899999999999,9.45902043059473,5.08507615304038,2,9,10082.8338732047,57.1615080338498,80.9376965345753,-35.9077431535849,196.311411583086,28.0883159724188,92.2536806629914,23.7565589646136,59.963,1,107.815290816028,1.6,1.56,8.70294205794724,3.87007770839088,0.093736641377806,9.28219406635531,0.306225182243148,0,2478.19905684642,
85.8999320198245,0.409421783550274,9.37199999999999,9.49505065290581,5.06672949702403,2,9,10102.0188119799,57.0206906534561,80.8919299359825,-36.0445188353805,197.059178632903,28.0942830861222,92.2049712122924,24.7600483719456,59.963,1,107.815290816028,1.6,1.56,8.91083405045969,3.87806002309638,0.0934636244653067,9.49632370851427,0.33024917839651,0,2478.06228116462,
86.0621658760424,0.418348449520429,9.58499999999999,9.53094994392045,5.04835290254836,2,9,10121.0978662809,56.8806504647166,80.8456634281473,-36.1807974839581,197.804228349797,28.1017486841431,92.1562355120478,25.749051760222,59.963,1,107.815290816028,1.6,1.56,9.11875772423313,3.88600383877977,0.0931898242705985,9.7103323018143,0.355046200271471,0,2477.92600251604,
86.2235035248729,0.427258288033027,9.79799999999999,9.56671809769286,5.02994678306027,2,9,10140.0715246441,56.7413838817743,80.7989082916364,-36.3165783175192,198.546556459595,28.110714249388,92.1074750416387,26.7245878011838,59.963,1,107.815290816028,1.6,1.56,9.3267130810747,3.89390931788601,0.0929152458754283,9.92421705463814,0.380615805558733,0,2477.79022168248,
86.3839490744729,0.436151454845471,10.011,9.602354911173,5.01151155287686,2,9,10158.9402701977,56.6028873584701,80.7516756753105,-36.4518605652579,199.286158748219,28.121181196288,92.0586912878993,27.6875322509792,59.963,1,107.815290816028,1.6,1.56,9.53470012236314,3.90177662078885,0.092639894293373,10.1379751769845,0.406957541867703,0,2477.65493943474,
86.5435065878949,0.445028103901407,10.224,9.63786018421366,4.99304762718801,2,9,10177.7045807656,56.465157387579,80.7039765981633,-36.5866434673879,200.023031061838,28.1331508696484,92.0098857450483,28.6386432947424,59.963,1,107.815290816028,1.6,1.56,9.7427188490473,3.90960590580574,0.0923637742760161,10.3516038805046,0.434070946732395,0,2477.52015653261,
86.7021800839537,0.45388838736151,10.437,9.6732337195776,4.97455542205888,2,9,10196.3649289691,56.3281905000621,80.6558219511196,-36.7209262751693,200.757169307011,28.1466245435022,91.961059914617,29.578581427403,59.963,1,107.815290816028,1.6,1.56,9.9507692616464,3.91739732934909,0.0920868919337811,10.5651003785381,0.461955547617465,0,2477.38587372483,
86.8599735380739,0.462732455633582,10.65,9.70847532294465,4.95603535443257,2,9,10214.9217823269,56.1919832643345,80.6072224987929,-36.8547082509362,201.488569450842,28.1616034199688,91.9122153053771,30.5079252418623,59.963,1,107.815290816028,1.6,1.56,10.158851360245,3.92515104580399,0.0918092515170737,10.7784618861502,0.490610861924377,0,2477.25209174906,
87.016890883121,0.471560457402013,10.863,9.74358480291882,4.93748784213277,2,9,10233.3756033523,56.0565322855488,80.5581888812063,-36.9879886681231,202.21722752112,28.178088628117,91.8633534332646,31.427184107152,59.963,1,107.815290816028,1.6,1.56,10.3669651445057,3.93286720770976,0.091530859013381,10.9916856201672,0.520036396997701,0,2477.11881133188,
87.1729360102135,0.480372539656595,11.076,9.77856197103541,4.91891330386654,2,9,10251.7268496495,55.921834204893,80.5087316154741,-37.1207668112919,202.943139606471,28.1960812228322,91.8144758213026,32.3368084523206,59.963,1,107.815290816028,1.6,1.56,10.5751106136551,3.94054596569065,0.0912517191908126,11.2047687992134,0.550231650131541,0,2476.98603318871,
